"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1500-sq-ft-in-sector-117-mohali-iid-1848669602","","₹ 23,000","2 BHK - 2 Bathroom - 1500 sqft","2bhk fully furnished","Sector 117, Mohali","Today","https://apollo.olx.in/v1/files/9mqz0rvlktd43-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1100-sq-ft-in-sector-117-mohali-iid-1848015532","","₹ 18,500","2 BHK - 2 Bathroom - 1100 sqft","2bhk fully furnished khera enlave","Sector 117, Mohali","Today","https://apollo.olx.in/v1/files/lexr3exhujy21-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-0-sq-ft-in-sector-125-mohali-iid-1848634479","https://apollo.olx.in/v1/files/iawnz5wi3zev1-IN/image;s=150x0;q=50;f=webp;","₹ 6,500","1 BHK - 1 Bathroom - 0 sqft","Need a girl roommate","Sector 125, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1050-sq-ft-in-khanpur-kharar-iid-1808667093","https://apollo.olx.in/v1/files/4iydkrgqh12d2-IN/image;s=150x0;q=50;f=webp;","₹ 25,000","2 BHK - 2 Bathroom - 1050 sqft","Luxury 2 Bhk Full Furnished Flat For Rent In kharar 600 elc.Unit Free","Khanpur, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1575-sq-ft-in-dashmesh-nagar-kharar-iid-1848666564","https://apollo.olx.in/v1/files/jbd7ma6jbtzd2-IN/image;s=150x0;q=50;f=webp;","₹ 9,500","1 BHK - 1 Bathroom - 1575 sqft","1BHK FULL FURNISHED","Dashmesh Nagar, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-99-sq-ft-in-garden-colony-kharar-iid-1848664564","https://apollo.olx.in/v1/files/icu7jzve40va2-IN/image;s=150x0;q=50;f=webp;","₹ 3,000","1 BHK - 1 Bathroom - 99 sqft","Boys sharing room","Garden Colony, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-140-sq-ft-in-guru-teg-bahadur-nagar-kharar-iid-1848663738","","₹ 6,000","2 BHK - 2 Bathroom - 140 sqft","1 Room Available in 2BHK Flat for Male Flatmate  Fully Furnished","Guru Teg Bahadur Nagar, Kharar","Today","https://apollo.olx.in/v1/files/5vnwp54mf8ia-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sector-126-mohali-iid-1848354575","https://apollo.olx.in/v1/files/dcb4l3idxk9q2-IN/image;s=150x0;q=50;f=webp;","₹ 18,000","2 BHK - 2 Bathroom - 1200 sqft","1 AC+Refrigerator+RO+ 2 Double bed+Gyster+Fan","Sector 126, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-100-sq-ft-in-sector-126-kharar-iid-1847651730","https://apollo.olx.in/v1/files/21drforhtscl1-IN/image;s=150x0;q=50;f=webp;","₹ 13,000","1 BHK - 1 Bathroom - 100 sqft","1BHK, 2BHK, 3BHK flats available for rent","Sector 126, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1400-sq-ft-in-sunny-enclave-kharar-iid-1848524835","","₹ 17,000","2 BHK - 2 Bathroom - 1400 sqft","House for tolet","Sunny Enclave, Kharar","Today","https://apollo.olx.in/v1/files/4zraz3r4pp503-IN/image;s=150x0;q=50;f=webp;"
