"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-800-sq-ft-in-sector-77-mohali-iid-1839242272","","₹ 12,500","1 BHK - 1 Bathroom - 800 sqft","1 owner free room available in 2bhk flat","Sector 77, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1700-sq-ft-in-sector-40d-chandigarh-iid-1846273861","","₹ 47,000","2 BHK - 2 Bathroom - 1700 sqft","Ownerfree fully furnished 2bhk 2bath 40,51,35 boys girls only","Sector 40D, Chandigarh","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-46464-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847460697","","₹ 11,500","2 BHK - 1 Bathroom - 46464 sqft","2 bedroom kitchen bath for other state family only phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-57575-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847512448","","₹ 17,000","2 BHK - 2 Bathroom - 57575 sqft","2 bedroom drawing room kitchen 2 bath for family phase 3b1 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-54544-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847591455","","₹ 20,000","3 BHK - 2 Bathroom - 54544 sqft","3 bedroom drawing room modular kitchen 2 bath phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-545441-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847755413","","₹ 21,000","3 BHK - 2 Bathroom - 545441 sqft","Onwer free 3 bedroom drawing room kitchen 2 bath sector 71 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-54454-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847758859","","₹ 11,500","2 BHK - 1 Bathroom - 54454 sqft","2 bedroom kitchen bath for other state family  phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-45484-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847266178","","₹ 11,500","2 BHK - 1 Bathroom - 45484 sqft","2 bedroom kitchen bath for other state FAMILY phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-55544-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847171812","","₹ 11,500","2 BHK - 1 Bathroom - 55544 sqft","2 bedroom kitchen bath for outer state Family phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-55454-sq-ft-in-sector-60-phase-3b2-mohali-iid-1847067869","","₹ 12,000","2 BHK - 1 Bathroom - 55454 sqft","2 bedroom kitchen bath for other state family phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-57877-sq-ft-in-sector-60-phase-3b2-mohali-iid-1846776468","","₹ 18,000","2 BHK - 2 Bathroom - 57877 sqft","2 bedroom drawimg room kitchen 2 bath for family phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-49494-sq-ft-in-sector-60-phase-3b2-mohali-iid-1846576981","","₹ 11,500","2 BHK - 1 Bathroom - 49494 sqft","2 bedroom  kitchen bath fr other state FAMILY phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-84848-sq-ft-in-sector-60-phase-3b2-mohali-iid-1846574601","","₹ 21,000","3 BHK - 2 Bathroom - 84848 sqft","Owner free 3 bedroom drawing room kitchen bath FAMILY phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"","","₹ 29,000","2 BHK - 2 Bathroom - 1900 sqft","sector 88, Hero Homes, IT City near , Main Mohali, luxury Flat,","Sector 88, Mohali","Yesterday"
"","","₹ 55,000","3 BHK - 3 Bathroom - 1800 sqft","3bhk + servant room (91 sector mohali)","Sector 91, Mohali","Today"
"","","₹ 37,000","3 BHK - 2 Bathroom - 1800 sqft","3bhk (purab apartment)  88 sector mohali","Sector 88, Mohali","3 days ago"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1800-sq-ft-in-sector-110-mohali-iid-1847012668","","₹ 20,000","3 BHK - 2 Bathroom - 1800 sqft","Owner listing no brokerage :need family to rent flat in sec 110 mohali","Sector 110, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1550-sq-ft-in-sector-112-mohali-iid-1845794498","","₹ 23,000","3 BHK - 3 Bathroom - 1550 sqft","Premium flat ready to move","Sector 112, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-0-sq-ft-in-sector-88-mohali-iid-1846702999","","₹ 45,000","3 BHK - 2 Bathroom - 0 sqft","hero homes avialable on rent","Sector 88, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-00-sq-ft-in-sector-89-mohali-iid-1846702734","","₹ 28,000","2 BHK - 2 Bathroom - 00 sqft","2bhk fully furnished available on rent","Sector 89, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-flats-apartments-00-sq-ft-in-sector-91-mohali-iid-1846300906","","₹ 35,000","3 BHK - 3 Bathroom - 00 sqft","flat for rent","Sector 91, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-500-sq-ft-in-sector-126-kharar-iid-1845939205","","₹ 7,500","1 BHK - 1 Bathroom - 500 sqft","One Room Kitchen Available at a prime location","Sector 126, Kharar","Today"
"","","₹ 60,000","4 BHK - 4 Bathroom - 150 sqft","4bhk villa in sector 79 mohali for rent","Sector 79, Mohali","Today"
"","","₹ 17,000","1 BHK - 1 Bathroom - 900 sqft","1bhk sbp north valley","Sante Majra, Kharar","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-900-sq-ft-in-sector-40c-chandigarh-iid-1845850980","","₹ 7,000","1 BHK - 1 Bathroom - 900 sqft","Independent  furnished 1room set at Sec70 Mohali","Sector 40C, Chandigarh","Today"
"","","₹ 23,000","2 BHK - 2 Bathroom - 2245 sqft","2 bhk semi furnished for family","Sector 79, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1600-sq-ft-in-sohana-village-mohali-iid-1848213168","https://apollo.olx.in/v1/files/w2cv61lhmzph3-IN/image;s=150x0;q=50;f=webp;","₹ 10,500","2 BHK - 1 Bathroom - 1600 sqft","Atteched kitchen bathroom","Sohana Village, Mohali","Today"
"","https://apollo.olx.in/v1/files/u018d7iyx29p2-IN/image;s=150x0;q=50;f=webp;","₹ 24,000","2 BHK - 2 Bathroom - 1050 sqft","2 bhk furnished sec 117 Govind enclave for everyoneRoyal property","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-2531-sq-ft-in-sector-60-phase-3b2-mohali-iid-1848584669","https://apollo.olx.in/v1/files/880g3wlsgvli-IN/image;s=150x0;q=50;f=webp;","₹ 10,000","1 BHK - 1 Bathroom - 2531 sqft","Brokerage 50% AC Fully Furnish One Bhk","Sector 60 Phase 3B2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-900-sq-ft-in-sector-68-mohali-iid-1848280617","https://apollo.olx.in/v1/files/isfecsujbqgp1-IN/image;s=150x0;q=50;f=webp;","₹ 12,000","1 BHK - 1 Bathroom - 900 sqft","1RK.  68 mohali","Sector 68, Mohali","Today"
"","https://apollo.olx.in/v1/files/xww8onnzgd3z1-IN/image;s=150x0;q=50;f=webp;","₹ 15,000","1 BHK - 1 Bathroom - 1050 sqft","1 room attached  washroom sharing kitchen for boy Royal property","Sector 68, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1830-sq-ft-in-sector-66-mohali-iid-1847976695","https://apollo.olx.in/v1/files/6hwd7jy9y9h92-IN/image;s=150x0;q=50;f=webp;","₹ 58,000","3 BHK - 3 Bathroom - 1830 sqft","Luxury 3 BHK  Fully Furnished in Bestech Tower Sector 66, Mohali","Sector 66, Mohali","Today"
"","https://apollo.olx.in/v1/files/q19s0bczznlw2-IN/image;s=150x0;q=50;f=webp;","₹ 18,000","2 BHK - 1 Bathroom - 1050 sqft","2bhk furnished rent 18k small family/Girls prefer2nd floor ground floo","Sector 80, Mohali","Today"
"","https://apollo.olx.in/v1/files/cjt3y5d3ov802-IN/image;s=150x0;q=50;f=webp;","₹ 18,500","2 BHK - 2 Bathroom - 900 sqft","2bhk , 2 bhk flat to rent with all ameneties in society","Sector 126, Kharar","May 28"
"","","₹ 26,000","2 BHK - 2 Bathroom - 2800 sqft","2bhk semi only for family.","Sector 89, Mohali","Jun 10"
"","","₹ 30,000","3 BHK - 3 Bathroom - 1600 sqft","3bhk semi furnished apartment","Sector 117, Mohali","Jun 28"
"","","₹ 28,000","2 BHK - 2 Bathroom - 1050 sqft","Sector 80 rent 28k 2bhk1st floor ground floor owner Royal property","Sector 80, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-1000-sq-ft-in-industrial-area-phase-7-mohali-iid-1848678289","","₹ 9,500","1 BHK - 1 Bathroom - 1000 sqft","1 room set furnished:9500,2 room set:16500 for rent in mohali..","Industrial Area Phase 7, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-113-mohali-iid-1848677467","","₹ 26,000","3 BHK - 2 Bathroom - 1500 sqft","3bhk ( owner free ) semi furnished","Sector 113, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1900-sq-ft-in-sector-117-mohali-iid-1848677047","","₹ 30,000","3 BHK - 3 Bathroom - 1900 sqft","3bhk Fully Furnished everything in flat","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-85444-sq-ft-in-sector-60-phase-3b2-mohali-iid-1846571889","","₹ 21,000","2 BHK - 2 Bathroom - 85444 sqft","Owner free 2 BHK 2 bath kitchen for small family phase 3b2 mohali","Sector 60 Phase 3B2, Mohali","Today"
"","","₹ 5,999","1 BHK - 1 Bathroom - 1500 sqft","FOR GIRLS ONLY  fully furnished.","Sector 59, Mohali","Today"
